part_id,acc_cmd,acc_param,bbox_avg_sim
102369_65e5a7e6_0003,0.25,0.16532350909509555,
104542_2e4f8127_0000,0.0,0.12688689564646685,
108412_8de2f9c3_0000,1.0,0.4657996146435453,0.711206422889452
108855_86bf65d0_0007,0.5,0.6160037878787878,
119921_5621fcb4_0000,1.0,0.9121030832949839,0.9999999726190486
121940_7b0ac001_0000,0.5,0.09667254179351599,
121944_dbb87fab_0002,0.25,0.296078431372549,
122424_d612248e_0000,0.25,0.1585753656985372,
123336_d21b9492_0000,0.25,0.02760071786620459,
123770_de9989d1_0001,0.5,0.6291294410970288,
125821_16752287_0001,1.0,0.908675799086758,0.9999999842519688
127023_9a974c7e_0000,0.5,0.1982436309886097,
127453_23b625e6_0001,0.0,0.17779904306220096,
127453_75e818dd_0002,0.25,0.07259368111682586,
129935_8a7613e5_0000,0.25,0.06750507099391481,
131014_17cad022_0004,0.5,0.6409411764705882,
131463_e4a55cfe_0004,0.25,0.3578621223857475,
131463_e4a55cfe_0008,0.5,0.7159496077965296,
132863_90d729e2_0003,1.0,0.7916666666666666,0.9999949098424462
132867_9ee8378c_0000,1.0,0.5574960308459969,0.8888888674176151
133109_dbf8891f_0002,0.5,0.17687527740790057,
133249_b81dc8d6_0000,0.25,0.11600090273076055,
133402_47273d61_0012,0.5,0.5300636642301344,
134027_a6a95d00_0002,0.25,0.19195448193252146,
137141_748596d0_0006,0.5,0.5393784589186889,
137373_22e709d8_0000,0.25,0.39337579617834395,
137744_580caf3a_0000,0.25,0.20782476743418882,
137837_9c9f163d_0009,0.25,0.16480400333611342,
138143_48d4dcd5_0000,1.0,0.7967914438502673,0.9999820157446967
138720_1ba95e19_0000,1.0,0.6217443249701314,0.7878788040423849
139093_f71ea5d2_0002,0.5,0.6795460033808259,
139379_fe5c3f64_0000,0.25,0.34913793103448276,
139518_5ee97bb7_0000,0.5,0.21239168675483744,
139674_8774f1a3_0027,0.5,0.15669896424991647,
140760_c36e4bec_0027,0.5,0.6730736806609341,
142659_3e42350b_0005,0.5,0.1559633027522936,
142852_65dcbe39_0001,0.0,0.11236497495624886,
143293_fc5b0ff7_0026,0.0,0.17614196516595465,
143815_c616f1b4_0003,0.5,0.7844218507668448,
