part_id,score,similarity,bbox_sim,response_index,details
23137_e55b73cb_0011,1.0,0.2939189189189189,0.803030458874459,3,Reconstruction successful.
77211_d46ae17d_0014,1.0,0.6982248520710059,0.7899159578931577,3,Reconstruction successful.
34782_b461066c_0003,0.5,0.10804174340085942,,1,Reconstruction resulted in a null shape.
21636_f65686bc_0003,0.5,0.273972602739726,,1,Reconstruction resulted in a null shape.
148098_33ec30c9_0003,1.0,0.25194401244167963,0.8018436862138754,3,Reconstruction successful.
137837_9c9f163d_0009,1.0,0.07272727272727272,0.9999998970666774,3,Reconstruction successful.
41739_1bc15d9f_0008,0.5,0.03473227206946455,,1,Reconstruction resulted in a null shape.
148051_b9c68456_0000,1.0,0.8389057750759878,0.9870967939491431,2,Reconstruction successful.
33147_d7173b68_0019,0.0,0.13358538122243227,,3,"Line 29: Incorrect base structure: '- A (-155.5, -38.1, -146.'."
40061_d07e8764_0012,1.0,0.3958333333333333,0.7777778018518521,3,Reconstruction successful.
78880_ed3c684d_0001,1.0,0.9083333333333333,0.978494448664669,2,Reconstruction successful.
137373_22e709d8_0000,1.0,0.3089770354906054,0.5142787645047332,3,Reconstruction successful.
140760_c36e4bec_0027,0.0,0.12506513809275666,,1,"Line 71: Incorrect base structure: '- L (-135,'."
143815_c616f1b4_0003,0.0,0.15069252077562326,,1,"Line 50: Incorrect base structure: '- L(39, -17'."
24032_d6172503_0031,1.0,0.8353413654618473,0.9997749445451621,2,Reconstruction successful.
121944_dbb87fab_0002,1.0,0.1624203821656051,0.8399408732294632,1,Reconstruction successful.
23264_20be13a0_0005,0.5,0.027777777777777776,,1,Reconstruction resulted in a null shape.
60293_49808d27_0000,1.0,0.9082969432314411,0.9999999755555562,1,Reconstruction successful.
41902_43d78d0f_0001,0.5,0.38178633975481613,,2,Reconstruction resulted in a null shape.
75646_4baf69b2_0010,1.0,0.8899082568807339,0.9999999655555568,2,Reconstruction successful.
44996_b3e9c266_0016,0.0,0.12261960055736182,,2,Line 37: Incorrect base structure: '- L (133.'.
40072_b44084ae_0005,1.0,0.09897292250233426,0.8569473362909189,1,Reconstruction successful.
24032_d6172503_0023,1.0,0.30727762803234504,0.19834082707059505,1,Reconstruction successful.
139379_fe5c3f64_0000,1.0,0.05310492505353319,0.9999999300000133,1,Reconstruction successful.
53927_ef5208b9_0003,1.0,0.12468193384223919,0.7241412998875001,3,Reconstruction successful.
41128_ee74f244_0015,1.0,0.058975685463010866,0.81139756526085,1,Reconstruction successful.
108855_86bf65d0_0007,0.5,0.2784552845528455,,1,Reconstruction resulted in a null shape.
134027_a6a95d00_0002,0.0,0.03240907454087144,,1,Line 47: Incorrect base structure: '- L (2.'.
30417_0010bc7c_0018,1.0,0.29046898638426627,0.750291473416875,3,Reconstruction successful.
52352_adac16c3_0024,1.0,0.23423423423423423,0.32319096680609816,2,Reconstruction successful.
61767_6afe5575_0001,0.5,0.15959252971137522,,2,Reconstruction resulted in a null shape.
40887_454ffc48_0011,1.0,0.9210526315789473,0.99999963829804,1,Reconstruction successful.
121940_7b0ac001_0000,0.0,0.02019522046449007,,3,"Line 39: Incorrect base structure: '- L (-0.66476, 83.11527, -0.66597,'."
137141_748596d0_0006,0.0,0.03367003367003367,,1,"Line 27: Incorrect base structure: '- L (-38.29024482e-04, -23.03001235'."
30418_de83ae84_0004,1.0,0.8181818181818182,0.9999944000429027,1,Reconstruction successful.
131463_e4a55cfe_0008,1.0,0.6828193832599119,0.4504279040431653,2,Reconstruction successful.
34781_4f8a4759_0006,0.0,0.09748525302701025,,3,Line 44: Incorrect base structure: '- L (-'.
85195_c6ef0067_0001,1.0,0.41379310344827586,0.3602556356893687,3,Reconstruction successful.
52230_60438ea5_0013,1.0,0.3080168776371308,0.5925926055925927,2,Reconstruction successful.
89527_b3bf425d_0017,0.0,0.11454637607704005,,2,"Line 26: Incorrect base structure: '- A (11.89705781, 18.05994251, 11.89598162, 18.95993692, -13.13296153'."
147235_686872f8_0000,1.0,0.05532503457814661,0.28486156048621336,1,Reconstruction successful.
50001_e86a6698_0010,1.0,0.05639097744360902,0.41557306102362207,2,Reconstruction successful.
41681_607f4353_0000,1.0,0.7381703470031545,0.9815285054443791,2,Reconstruction successful.
41124_a5855c0d_0008,0.5,0.13120567375886524,,1,Reconstruction resulted in a null shape.
37517_f894f8bd_0004,0.0,0.12165660051768766,,2,"Line 26: Incorrect base structure: '- L (-1.22997103, 9098125.88459, -1.42996896,'."
22430_c6f08b03_0042,1.0,0.11661506707946337,0.9600451807022651,1,Reconstruction successful.
60717_7ba1f3ab_0000,1.0,0.9,0.9999997244445972,2,Reconstruction successful.
24659_d2ba8a0f_0000,1.0,0.8765957446808511,0.9999999494949526,1,Reconstruction successful.
42143_51b31600_0005,1.0,0.32061068702290074,0.6595357617195569,3,Reconstruction successful.
53448_2f7c767c_0018,1.0,0.7817589576547231,0.9999999349495008,3,Reconstruction successful.
41401_a4897785_0000,1.0,0.8248175182481752,0.9999997725285009,3,Reconstruction successful.
123770_de9989d1_0001,0.0,0.03915171288743882,,2,"Line 47: Incorrect base structure: '- L (-84.41, 181.93, -86.83,'."
80490_5d5ba15f_0001,1.0,0.8305084745762712,0.9999998021164576,1,Reconstruction successful.
50777_2934de55_0011,1.0,0.571912013536379,0.9333328933335613,2,Reconstruction successful.
37995_1cc61263_0005,0.5,0.22817080943275972,,2,Reconstruction resulted in a null shape.
142659_3e42350b_0005,0.0,0.02167074449493184,,1,"Line 41: Incorrect base structure: '- L (-127.30077,'."
22341_0f9c52ed_0004,0.0,0.0700836820083682,,2,"Line 11: Incorrect base structure: '- A (-14.00001, -41.99999, -12.49998, -42), -11.50002, -43.50197, 0.00168, -0.99993, 36.25, 0, 1.57079'."
25186_e5476b73_0000,1.0,0.15048543689320387,0.6666667055555555,2,Reconstruction successful.
54285_76f37095_0001,0.0,0.06012814194184327,,3,"Line 38: Incorrect base structure: '- L (-127.72004273, 57.546875'."
38739_f321c899_0018,1.0,0.11292875989445911,0.8994510145115641,1,Reconstruction successful.
37040_ecbcd25e_0027,1.0,0.36149732620320857,0.8335725553559287,1,Reconstruction successful.
122424_d612248e_0000,0.5,0.14257425742574256,,1,Reconstruction resulted in a null shape.
25156_78e996ae_0001,0.0,0.08838383838383838,,2,"Line 39: Incorrect base structure: '- L (-28.59, 17.'."
79981_7148f1e3_0000,0.0,0.04993312527864467,,2,"Line 50: Incorrect base structure: '- L(529.53, 5.97'."
41512_c1a779f2_0005,0.0,0.05511811023622047,,3,Line 31: Incorrect base structure: '- L (-64.857855'.
35145_a3d7363c_0012,0.0,0.09581355200690549,,1,"Line 41: Incorrect base structure: '- L (-30.45001088, -29'."
55707_c78416ed_0011,1.0,0.9217391304347826,0.9999997766271843,3,Reconstruction successful.
55715_525d1d3e_0000,0.0,0.05925925925925926,,1,"Line 43, Command 'L', parameter 2: Invalid type or value '235)'."
53848_7c64ed9f_0003,0.0,0.18011894647408666,,2,"Line 21, Command 'E', parameter 4: Invalid type or value 'Three'."
77211_d46ae17d_0012,1.0,0.7728613569321534,0.8722222042824089,3,Reconstruction successful.
49502_0ed856f7_0006,1.0,0.18642350557244175,0.9999999375375412,2,Reconstruction successful.
123336_d21b9492_0000,0.5,0.17473884140550808,,3,Reconstruction resulted in a null shape.
133109_dbf8891f_0002,1.0,0.2085048010973937,0.852904808120964,1,Reconstruction successful.
52557_e6a00b06_0008,1.0,0.7096774193548387,0.9999998277778094,3,Reconstruction successful.
21233_05d745b4_0015,0.0,0.03880190605854323,,3,"Line 6, Command 'L', parameter 2: Invalid type or value '0)'."
34708_7559c801_0004,0.5,0.0186786579038395,,1,Reconstruction resulted in a null shape.
21822_7d3db422_0039,0.5,0.3193717277486911,,3,Reconstruction resulted in a null shape.
80189_5bbbf853_0000,1.0,0.17921830314585319,0.7273371645217147,2,Reconstruction successful.
133402_47273d61_0012,1.0,0.26996197718631176,0.7903673153745175,1,Reconstruction successful.
138143_48d4dcd5_0000,1.0,0.7952755905511811,0.9993797008109375,1,Reconstruction successful.
55707_c78416ed_0018,0.0,0.12353766963032288,,1,"Line 30: Incorrect base structure: '- L (-185.19046796, 106.700073),'."
133249_b81dc8d6_0000,0.0,0.07574094401756312,,3,"Line 49: Incorrect base structure: '- L (-360.09, 9.79, -238.99,'."
102369_65e5a7e6_0003,0.5,0.1761467889908257,,2,Reconstruction resulted in a null shape.
31962_e5291336_0038,1.0,0.7953667953667953,0.9999997893163043,1,Reconstruction successful.
50900_0326428a_0012,1.0,0.28296703296703296,0.6375660682539921,2,Reconstruction successful.
21680_360ba5c7_0011,1.0,0.8130563798219584,0.6977501748043023,3,Reconstruction successful.
39389_d641313f_0063,1.0,0.1863230921704658,0.09722233730158736,1,Reconstruction successful.
31962_e5291336_0010,0.0,0.10351377018043685,,3,"Line 26: Incorrect base structure: '- A (13.545e+02, -60.395e+01, 13.505e+02, -61.465e+01, 13.595e+02, 12.15007e+01, 0, 1'."
127453_23b625e6_0001,1.0,0.16245883644346873,0.5138429710461917,1,Reconstruction successful.
27679_501db761_0012,1.0,0.757679180887372,0.9999998584229596,1,Reconstruction successful.
60716_dcd9370c_0006,1.0,0.9464285714285714,0.9999998466666988,2,Reconstruction successful.
56430_4f35ba2f_0004,0.5,0.34993924665856624,,1,Reconstruction resulted in a null shape.
41473_c2137170_0029,1.0,0.47513812154696133,0.9999995407213177,3,Reconstruction successful.
119921_5621fcb4_0000,1.0,0.8888888888888888,0.9999999707142866,2,Reconstruction successful.
